Ch1 Amplitude,Ch2 Amplitude,Cluster
-788.3091,8772.304,4
-787.027832,8699.495,4
-783.1265,8511.656,4
-770.8822,8521.552,4
-768.7806,8454.177,4
-768.4432,8350.642,4
-766.937561,8415.596,4
-765.4913,8499.927,4
-762.62384,8303.358,4
-758.563,8656.323,4
-758.170349,8414.946,4
-757.3792,8296.325,4
-757.169,8445.92,4
-757.0299,8254.328,4
-756.9932,9051.875,4
-753.9563,8206.282,4
-753.4024,8285.846,4
-752.5224,8551.885,4
-752.177,8176.167,4
-751.6146,8395.831,4
-749.329468,8451.878,4
-749.1887,8318.25,4
-748.2691,8345.01,4
-745.2767,8300.518,4
-745.1766,8563.072,4
-744.0566,8075.38037,4
-743.803345,8598.98,4
-743.579041,8490.588,4
-743.4495,8543.751,4
-741.7262,8370.033,4
-740.7686,8222.22949,4
-738.029358,8189.89941,4
-737.6847,8372.32,4
-735.4259,8740.684,4
-735.1417,8387.67,4
-734.386963,8310.135,4
-734.2169,8524.442,4
-732.834351,8349.399,4
-732.7058,8339.334,4
-732.664368,8319.269,4
-731.7852,8362.378,4
-731.772644,8150.07471,4
-731.5614,8314.434,4
-730.780762,8724.404,4
-730.6659,7960.137,4
-730.3194,8426.945,4
-730.2988,8110.551,4
-730.0735,7929.835,4
-729.2626,7829.0127,4
-728.6061,7915.273,4
-728.277649,8586.987,4
-728.049133,8459.647,4
-727.568665,8200.107,4
-727.3899,8332.724,4
-727.259644,8270.175,4
-726.9437,8093.66553,4
-726.943,8261.794,4
-726.825,8416.029,4
-726.672058,8043.54639,4
-726.6341,8423.718,4
-726.525757,8324.101,4
-725.547668,8224.051,4
-725.425842,8322.923,4
-724.9953,8147.839,4
-724.954834,8416.787,4
-724.9266,8399.76,4
-724.7814,8160.93652,4
-724.5347,8421.956,4
-724.1587,8218.001,4
-723.652039,8079.96143,4
-723.597351,8310.212,4
-723.566345,8327.708,4
-723.561646,8399.718,4
-723.1996,8159.93652,4
-723.1035,8123.99072,4
-722.6345,8499.237,4
-722.458252,8281.988,4
-722.3096,8141.93066,4
-722.0918,8321.885,4
-721.920349,8368.23,4
-721.4035,8189.021,4
-721.0781,8523.032,4
-721.0703,8159.494,4
-720.894653,8255.039,4
-720.494568,7994.08643,4
-720.4523,8193.449,4
-720.3497,8619.161,4
-720.32605,8365.321,4
-720.3237,8087.92,4
-719.9848,8233.671,4
-719.432068,8575.071,4
-719.350769,7964.04346,4
-719.241455,8039.834,4
-718.9998,8106.15967,4
-718.736267,8082.15771,4
-718.4543,8148.472,4
-717.2439,8084.018,4
-717.1932,8531.447,4
-717.168,7866.19434,4
-717.0324,8234.239,4
-716.6017,8297.988,4
-716.38855,8241.698,4
-716.261536,8337.147,4
-715.8974,8442.205,4
-715.1838,7867.02246,4
-714.9404,8233.9375,4
-714.905762,8181.96045,4
-714.8713,8459.082,4
-714.7417,8152.582,4
-714.691833,8638.515,4
-714.548462,8316.618,4
-714.4628,8059.901,4
-714.3455,7998.301,4
-714.0677,8263.642,4
-713.378,8082.15771,4
-713.115,8181.895,4
-712.7609,8309.714,4
-712.5711,8216.97949,4
-712.3673,8419.032,4
-712.315552,8362.514,4
-712.299438,8004.09766,4
-710.796936,8022.594,4
-710.4814,8443.468,4
-710.294,7975.817,4
-710.1127,8190.53857,4
-710.0353,8039.265,4
-710.005859,8290.603,4
-709.921265,8326.617,4
-709.5752,8290.732,4
-709.5346,7993.54248,4
-709.309937,7931.741,4
-708.6761,8002.82275,4
-708.605835,8067.75928,4
-708.5827,8006.44,4
-708.46814,8520.564,4
-708.2904,8155.77148,4
-708.0332,8051.665,4
-707.9579,8255.989,4
-707.923157,8167.64746,4
-707.8985,8300.17,4
-707.8907,8132.54932,4
-707.7544,7888.206,4
-707.444153,8079.348,4
-707.329651,8329.701,4
-707.1754,8134.857,4
-707.1565,8120.78271,4
-707.1443,8023.71973,4
-707.0546,8120.464,4
-706.927368,8286.359,4
-706.7329,7968.144,4
-706.5192,8006.196,4
-706.206665,8221.751,4
-706.197449,7985.71631,4
-706.0424,8061.889,4
-705.972046,8245.434,4
-705.897644,8498.807,4
-705.5675,8035.65039,4
-705.2672,8238.218,4
-705.1402,8005.20459,4
-704.9283,7877.60059,4
-704.8443,8244.175,4
-704.681335,8189.19141,4
-704.6158,8129.455,4
-704.23645,7795.537,4
-704.231445,8143.505,4
-704.200439,8374.47949,4
-703.92,8103.1626,4
-703.857666,8073.042,4
-703.794556,8045.205,4
-703.515747,8094.791,4
-703.3197,8524.45,4
-702.578735,8086.334,4
-702.5172,8152.574,4
-702.010742,8263.255,4
-701.9992,7777.515,4
-701.9278,8121.404,4
-701.921265,8307.384,4
-701.9126,8034.652,4
-701.780762,7855.43652,4
-701.674438,8241.781,4
-701.6669,8297.784,4
-701.6498,7993.06055,4
-701.6464,8108.3584,4
-701.4398,7976.01,4
-701.2291,8309.376,4
-700.863647,7966.77246,4
-700.606567,8242.96,4
-700.3464,8230.395,4
-700.3176,7998.02637,4
-700.1523,8124.76025,4
-699.776367,8151.15771,4
-699.5437,8112.56445,4
-699.503235,7806.186,4
-699.4031,8158.18945,4
-699.302734,8139.72,4
-699.28656,7964.16357,4
-699.2202,7865.513,4
-699.1748,8032.27637,4
-699.166,8464.033,4
-698.9023,8352.062,4
-698.70166,8092.957,4
-698.6693,8458.563,4
-698.557739,8077.329,4
-698.4015,7859.034,4
-698.3758,7979.31445,4
-698.353455,8015.293,4
-698.3102,8323.006,4
-698.243958,7973.278,4
-698.0925,7815.915,4
-698.0055,7999.56738,4
-697.918,7838.50146,4
-697.897644,8229.809,4
-697.7441,8008.06348,4
-697.6015,7941.23438,4
-697.554749,8240.147,4
-697.19165,8419.593,4
-697.0873,7847.405,4
-697.073547,7995.80664,4
-696.9965,8236.447,4
-696.9017,8139.91162,4
-696.7602,8257.339,4
-696.707031,8043.35742,4
-696.688354,7899.8667,4
-696.2335,8276.066,4
-696.229431,8137.807,4
-696.2079,7906.369,4
-696.0918,7977.72266,4
-696.0421,7984.84033,4
-695.980469,8051.45,4
-695.950745,8142.597,4
-695.8994,8062.937,4
-695.8074,8193.601,4
-695.7584,8361.856,4
-695.6594,8174.001,4
-695.399841,7984.93066,4
-695.1146,7812.99365,4
-694.9921,8037.70947,4
-694.5152,7937.25439,4
-694.24585,8055.775,4
-694.0258,8003.842,4
-694.004761,7948.30029,4
-693.9729,7967.945,4
-693.7277,8075.068,4
-693.6335,7960.646,4
-693.5973,8250.605,4
-693.576538,7979.02637,4
-693.4013,8150.185,4
-693.331665,7850.439,4
-693.295349,7992.81543,4
-693.1839,8034.347,4
-693.1392,7996.72461,4
-692.8941,7892.16748,4
-692.7716,8108.477,4
-692.5715,8177.594,4
-692.231934,8263.683,4
-691.792664,8139.363,4
-691.705,8203.975,4
-691.273743,8157.681,4
-691.235046,8082.47754,4
-691.2272,7996.58643,4
-691.1985,8477.794,4
-691.109863,8101.471,4
-691.0373,7819.65039,4
-690.97644,8006.908,4
-690.974243,8382.265,4
-690.899963,8057.00537,4
-690.8508,7900.80566,4
-690.802734,8238.141,4
-690.789551,7905.32861,4
-690.7856,7982.29736,4
-690.6966,7976.7207,4
-690.648254,8069.288,4
-690.609253,8205.6875,4
-690.4572,8032.549,4
-690.369568,7887.877,4
-690.318665,8025.12256,4
-690.3109,7778.36768,4
-690.26886,8216.606,4
-690.235535,8232.714,4
-690.1204,8033.266,4
-690.0662,7959.961,4
-690.015747,8187.57666,4
-689.943054,8201.101,4
-689.7227,8106.83936,4
-689.449951,8024.55225,4
-689.384033,7672.12158,4
-689.3774,8052.553,4
-689.3261,7845.558,4
-689.1168,7961.19727,4
-689.0592,7854.68,4
-688.694641,8301.239,4
-688.623169,8277.082,4
-688.574158,8292.561,4
-688.325,8159.30371,4
-688.263,8097.387,4
-688.214661,8240.581,4
-687.9813,8135.526,4
-687.5139,8194.742,4
-687.46875,8307.866,4
-687.4068,7943.971,4
-687.2953,8284.651,4
-687.2531,8230.844,4
-687.1866,7842.63,4
-687.155945,7888.78027,4
-686.938,8098.314,4
-686.8838,7997.301,4
-686.7282,8174.32861,4
-686.544434,8292.552,4
-686.5364,7854.349,4
-686.308838,7742.025,4
-686.1406,7861.03174,4
-686.0891,8135.5,4
-686.0449,7978.07373,4
-686.023132,7832.303,4
-686.0159,8120.92627,4
-685.967,8177.476,4
-685.773254,8212.536,4
-685.601,7792.21826,4
-685.525269,7917.051,4
-685.299561,8095.15967,4
-685.043945,8064.011,4
-685.018555,7920.762,4
-684.8162,7956.131,4
-684.813965,7836.30469,4
-684.6913,7939.734,4
-684.6206,8167.35449,4
-684.60614,8003.13,4
-684.604736,8199.714,4
-684.5535,8048.47,4
-684.380432,7903.57275,4
-684.2446,7933.339,4
-684.21106,7886.938,4
-684.1091,7978.9707,4
-684.0312,8000.755,4
-683.9709,7747.384,4
-683.7601,8024.473,4
-683.7445,8028.187,4
-683.6566,7787.91,4
-683.5746,7822.92334,4
-683.459839,7737.888,4
-683.4309,8020.745,4
-683.307861,7866.78857,4
-683.200134,7859.94238,4
-683.114,8115.379,4
-683.0981,7842.9165,4
-683.088257,8007.47461,4
-683.0747,7894.453,4
-682.9863,7998.941,4
-682.9459,8007.8877,4
-682.9012,8142.22168,4
-682.625061,7854.309,4
-682.620667,7605.608,4
-682.499451,7993.961,4
-682.4879,7961.464,4
-682.4623,7859.77832,4
-682.4061,7803.407,4
-682.394836,7810.2124,4
-682.347,7831.78369,4
-682.1271,7959.16846,4
-681.9824,7479.28174,4
-681.893738,8135.81445,4
-681.7538,8022.09473,4
-681.720642,7658.47852,4
-681.4993,8076.24,4
-681.431,7900.113,4
-681.415344,7859.21826,4
-681.384338,7998.98828,4
-681.227051,7802.248,4
-681.062134,8107.673,4
-680.7775,7844.46729,4
-680.7187,7980.40771,4
-680.6836,8100.614,4
-680.616455,7865.866,4
-680.4753,7873.38,4
-680.3973,7700.72461,4
-680.241943,7706.678,4
-680.216858,8151.38525,4
-680.19574,7932.32227,4
-680.1914,8065.815,4
-680.1436,7971.638,4
-680.141052,8385.263,4
-680.0715,7854.9917,4
-680.0495,7998.84033,4
-680.045959,7979.04,4
-679.917053,8127.25928,4
-679.8833,8077.29541,4
-679.7663,8044.277,4
-679.5212,7992.03467,4
-679.474548,7631.522,4
-679.270142,7489.90625,4
-679.1823,8254.157,4
-679.1762,8326.807,4
-679.1623,7766.242,4
-679.1358,8309.617,4
-679.074158,7916.16846,4
-679.07135,8015.82227,4
-679.0192,8045.33447,4
-678.7915,7507.33936,4
-678.790466,8372.129,4
-678.6679,7563.9917,4
-678.6427,7887.28467,4
-678.626831,8123.609,4
-678.5179,8339.907,4
-678.35675,7932.051,4
-678.3297,7817.845,4
-678.284058,7936.996,4
-678.2736,7897.637,4
-678.2691,7919.801,4
-678.2497,8107.995,4
-678.082642,7844.91943,4
-678.060852,7619.522,4
-678.048157,8009.20947,4
-677.847534,8220.365,4
-677.705566,7789.351,4
-677.5751,7764.274,4
-677.574341,7913.78174,4
-677.5735,8146.851,4
-677.4961,8048.68555,4
-677.4363,8006.67139,4
-677.4276,8061.2124,4
-677.3783,7871.872,4
-677.346069,7836.08447,4
-677.243042,8351.283,4
-677.087646,7541.917,4
-676.9975,8004.6377,4
-676.9253,7785.419,4
-676.922241,7883.607,4
-676.903564,8432.215,4
-676.740051,7967.29932,4
-676.585938,7922.946,4
-676.367,7969.066,4
-676.271362,7911.08057,4
-676.167,7850.148,4
-676.1384,8094.71338,4
-676.070557,8293.593,4
-675.9815,7896.83838,4
-675.929138,8079.275,4
-675.8899,7774.93652,4
-675.8222,7820.90869,4
-675.8176,7897.814,4
-675.79425,7865.304,4
-675.7173,7938.327,4
-675.694763,8039.70557,4
-675.6838,7972.20947,4
-675.6382,7761.6875,4
-675.635864,8169.50342,4
-675.6274,7678.91553,4
-675.5884,8053.18945,4
-675.5698,8022.645,4
-675.5113,8013.803,4
-675.4832,8148.95361,4
-675.434631,8139.114,4
-675.0684,7712.285,4
-675.06134,7877.249,4
-674.954834,7941.214,4
-674.9234,8073.41,4
-674.850952,8140.42,4
-674.842957,7974.70264,4
-674.817932,7805.498,4
-674.8094,8133.087,4
-674.7419,8139.47,4
-674.7309,7787.50928,4
-674.6845,8357.349,4
-674.6341,7968.993,4
-674.5698,7706.62549,4
-674.482361,7772.24756,4
-674.325745,7780.2666,4
-674.3097,8032.15771,4
-674.1702,7988.17,4
-674.15625,7947.614,4
-674.107544,8089.97852,4
-674.0573,8100.625,4
-673.937134,7721.512,4
-673.806641,7974.728,4
-673.7735,8218.094,4
-673.642639,7912.54443,4
-673.6017,7783.16357,4
-673.5904,7754.75439,4
-673.52594,8056.366,4
-673.4977,7859.06445,4
-673.3255,8242.733,4
-673.2529,8092.348,4
-673.2316,8239.35,4
-673.0135,8140.595,4
-673.0073,7906.32373,4
