Ch1 Amplitude,Ch2 Amplitude,Cluster
-380.764984,3990.52637,4
-361.2381,3540.30615,1
-357.1438,3513.52856,1
-356.838837,3553.47925,1
-355.339661,3596.87915,1
-355.190033,3570.55127,1
-354.735474,3523.8667,1
-353.4071,3536.35059,1
-352.709351,3514.23047,1
-352.620056,3592.36621,1
-351.945862,3670.22266,1
-349.838348,3428.89282,1
-349.761383,3555.35474,1
-349.422424,3488.213,1
-349.233582,3259.91162,1
-349.0239,3355.63477,1
-348.802216,3593.65674,1
-348.291962,3353.96069,1
-347.735016,3419.34766,1
-347.481659,3485.14478,1
-347.0536,3452.01147,1
-346.906982,3521.03833,1
-346.364655,3365.762,1
-346.343384,3332.21655,1
-345.946625,3382.06665,1
-345.633942,3399.218,1
-344.646637,3588.79565,1
-344.611572,3443.84766,1
-344.529541,3481.43,1
-344.123932,3536.27979,1
-343.916016,3583.72046,1
-343.719635,3590.38843,1
-343.261475,3645.42163,1
-343.25592,3552.31958,1
-343.004272,3732.11816,4
-342.9128,3458.82422,1
-342.853729,3418.78662,1
-342.739777,3446.16138,1
-342.7053,3659.57813,1
-342.6645,3422.39526,1
-342.595459,3420.29272,1
-342.593384,3475.32886,1
-342.398682,3329.79175,1
-342.260834,4114.8877,4
-342.2474,3510.68262,1
-342.029724,3490.71777,1
-341.9775,3354.63086,1
-341.894226,3507.7,1
-341.7685,3582.36084,1
-341.67395,3461.78467,1
-341.629272,3387.38428,1
-341.242157,3424.07129,1
-341.239319,3575.58521,1
-341.111023,3478.60181,1
-341.105469,3378.9436,1
-341.0559,3487.33618,1
-341.0281,3864.91187,4
-340.805725,3503.1748,1
-340.657959,3482.05469,1
-340.565,3333.72241,1
-340.1368,3328.74536,1
-340.0855,3612.64478,1
-340.052826,3357.78,1
-339.919159,3422.16553,1
-339.884552,3381.90356,1
-339.596436,3393.50342,1
-339.186432,3340.19971,1
-338.9826,3489.94727,1
-338.9026,3498.87378,1
-338.86377,3460.88379,1
-338.732,3396.04932,1
-338.696167,3408.90771,1
-338.6643,3481.72314,1
-338.576233,3393.3418,1
-338.3692,3503.14771,1
-338.089661,3541.08154,1
-338.044067,3765.50952,4
-338.021271,3381.99,1
-337.860474,3512.95459,1
-337.709869,3355.68,1
-337.612335,3383.35547,1
-337.514,3422.96777,1
-337.40802,3436.37256,1
-337.323883,3509.15942,1
-337.2895,3427.08276,1
-337.239563,3600.6416,1
-337.212128,3339.804,1
-337.115845,3384.90942,1
-337.0519,3363.354,1
-336.991638,3669.15576,1
-336.97345,3331.21021,1
-336.8166,3394.43726,1
-336.7537,3412.96167,1
-336.55603,3463.72827,1
-336.5511,3640.44434,1
-336.486969,3347.03882,1
-336.481049,3368.01,1
-336.3461,3355.011,1
-336.039185,3485.02881,1
-335.953278,3401.48022,1
-335.9012,3571.68872,1
-335.849548,3384.308,1
-335.822723,3433.27515,1
-335.769257,3448.44678,1
-335.7608,3600.91,1
-335.743774,3434.52881,1
-335.729156,3525.332,1
-335.6386,3438.39282,1
-335.557648,3400.70776,1
-335.316376,3468.738,1
-335.236847,3409.16162,1
-335.2306,3433.42163,1
-335.159943,3413.76782,1
-335.105072,3420.607,1
-335.0006,3532.356,1
-334.988953,3326.12134,1
-334.9202,3419.672,1
-334.827759,3412.7334,1
-334.791962,3418.69678,1
-334.704773,3689.04224,1
-334.674683,3554.19287,1
-334.431976,3602.40039,1
-334.3382,3374.82,1
-334.327972,3554.632,1
-334.279449,3346.78638,1
-334.22467,3522.54,1
-333.595184,3550.09448,1
-333.58728,3677.85034,1
-333.585449,3387.851,1
-333.580231,3536.42456,1
-333.492035,3452.014,1
-333.471649,3379.7002,1
-333.395935,3494.30957,1
-333.2527,3347.23145,1
-333.247559,3354.06348,1
-333.213928,3402.6355,1
-333.1362,3491.43726,1
-333.116516,3331.47437,1
-333.0869,3384.74023,1
-333.0469,3602.08667,1
-332.928558,3398.48657,1
-332.885559,3573.82861,1
-332.864655,3352.477,1
-332.698456,3583.266,1
-332.638184,3571.05273,1
-332.5577,3335.526,1
-332.5147,3341.64453,1
-332.394043,3524.32422,1
-332.343536,3523.034,1
-332.3306,3435.81641,1
-332.295,3351.94971,1
-332.28775,3468.25537,1
-332.2048,3394.869,1
-332.019135,3431.087,1
-331.891022,3561.7207,1
-331.8425,3691.17139,1
-331.781219,3459.81958,1
-331.756866,3506.67236,1
-331.750458,3357.647,1
-331.728149,3442.96021,1
-331.7238,3536.669,1
-331.695984,3522.51123,1
-331.626465,3487.67041,1
-331.612823,3351.46362,1
-331.517273,3455.51367,1
-331.486481,3398.03687,1
-331.4659,3383.96387,1
-331.3603,3394.46753,1
-331.2376,3413.02783,1
-331.178131,3485.2583,1
-331.121338,3370.57959,1
-330.978333,3498.188,1
-330.8737,3598.527,1
-330.841431,3313.88574,1
-330.766144,3287.006,1
-330.703583,3337.19849,1
-330.6372,3314.41553,1
-330.6293,3291.72363,1
-330.626465,3525.18872,1
-330.590363,3486.31763,1
-330.4313,3516.52563,1
-330.410065,3530.95459,1
-330.312775,3389.901,1
-330.31073,3298.24756,1
-330.289429,3390.95313,1
-330.2288,3557.12451,1
-330.225769,3375.51514,1
-330.219177,3605.21387,1
-330.183,3480.333,1
-330.173248,3627.864,1
-330.142822,3429.946,1
-330.1389,3394.22974,1
-330.098083,3348.27051,1
-330.0902,3558.89233,1
-330.0386,3294.164,1
-330.0037,3439.95654,1
-329.946167,3315.71729,1
-329.936829,3362.56152,1
-329.9307,3366.56519,1
-329.8507,3314.7998,1
-329.8437,3376.37915,1
-329.838745,3456.90283,1
-329.829224,3155.16821,1
-329.7606,3389.439,1
-329.745056,3427.86255,1
-329.714935,3397.54932,1
-329.618469,3514.56079,1
-329.605835,3367.94653,1
-329.518524,3249.30151,1
-329.507538,3578.111,1
-329.460876,3448.867,1
-329.386047,3339.44019,1
-329.349182,3484.65259,1
-329.326019,3438.89551,1
-329.3079,3437.28223,1
-329.20163,3350.62524,1
-329.196655,3479.828,1
-329.1681,3290.44287,1
-329.113556,3306.13013,1
-329.091827,3220.88647,1
-329.088318,3384.32471,1
-329.0258,3213.936,1
-329.021973,3413.80029,1
-328.934082,3355.09839,1
-328.892761,3461.70337,1
-328.849823,3459.07349,1
-328.8036,3327.63037,1
-328.77948,3345.696,1
-328.730316,3336.51978,1
-328.718,3267.5376,1
-328.708984,3277.07642,1
-328.675446,3155.74121,1
-328.661316,3439.19067,1
-328.659363,3435.92822,1
-328.6302,3442.35474,1
-328.630035,3513.483,1
-328.560455,3394.31348,1
-328.499725,3500.443,1
-328.463074,3349.89063,1
-328.436981,3182.071,1
-328.435181,3446.162,1
-328.359863,3531.598,1
-328.312347,3313.76758,1
-328.296967,3320.42773,1
-328.289764,3339.71021,1
-328.220245,3630.40723,1
-328.203217,3498.043,1
-328.186951,3306.609,1
-328.058472,3460.409,1
-328.0173,3329.72314,1
-327.967438,3371.58618,1
-327.9001,3218.33569,1
-327.862885,3387.8894,1
-327.8365,3452.08813,1
-327.8109,3586.81665,1
-327.777252,3393.81348,1
-327.7715,3452.06519,1
-327.761353,3409.608,1
-327.75824,3449.32666,1
-327.7352,3494.20386,1
-327.722229,3530.58423,1
-327.72113,3475.79175,1
-327.668884,3403.94873,1
-327.594452,3443.43823,1
-327.5539,3332.70752,1
-327.545166,3476.758,1
-327.485321,3365.16162,1
-327.4598,3313.751,1
-327.4341,3405.48657,1
-327.410645,3366.86475,1
-327.4042,3404.92529,1
-327.392517,3288.4,1
-327.352753,3484.28638,1
-327.3246,3382.83325,1
-327.309,3424.755,1
-327.292328,3381.8064,1
-327.27417,3456.75757,1
-327.2446,3440.45239,1
-327.198639,3406.76636,1
-327.186981,3388.882,1
-327.1868,3366.75537,1
-327.183472,3348.21021,1
-327.177643,3353.649,1
-327.1369,3353.68677,1
-327.0536,3387.08472,1
-327.052246,3196.331,1
-326.993164,3326.48853,1
-326.982635,3470.405,1
-326.954437,3252.89014,1
-326.9018,3423.06958,1
-326.8816,3570.45239,1
-326.865784,3524.77832,1
-326.86496,3189.2373,1
-326.8433,3692.65625,1
-326.820221,3432.03271,1
-326.776917,3477.61426,1
-326.771759,3405.93677,1
-326.744537,3397.0144,1
-326.741516,3441.48584,1
-326.723083,3393.437,1
-326.6916,3619.48022,1
-326.637573,3430.825,1
-326.622375,3243.16846,1
-326.546143,3341.692,1
-326.542633,3511.3623,1
-326.5228,3365.77148,1
-326.521667,3464.407,1
-326.521362,3424.27539,1
-326.493317,3427.39087,1
-326.465759,3417.762,1
-326.4504,3356.74756,1
-326.389862,3425.38379,1
-326.380768,3403.886,1
-326.360748,3453.77539,1
-326.340881,3368.76733,1
-326.287384,3346.98486,1
-326.17395,3518.53467,1
