Ch1 Amplitude,Ch2 Amplitude,Cluster
-365.812317,3457.17,1
-343.584351,3395.03613,1
-342.426575,3349.939,1
-342.141479,3295.23462,1
-342.012634,3346.15137,1
-341.71286,3375.984,1
-339.878754,3372.71143,1
-339.02417,3353.37549,1
-338.2006,3456.51782,1
-336.771057,3564.40161,1
-336.363525,3424.95557,1
-336.102753,3350.30884,1
-335.795746,3415.53467,1
-335.5249,3314.19971,1
-335.446259,3294.39478,1
-334.762329,3496.19141,1
-334.6464,3256.04956,1
-333.3279,3205.90186,1
-333.25238,3402.60352,1
-333.202545,3265.4978,1
-333.002747,3352.26147,1
-332.989227,3305.37476,1
-332.842743,3440.61865,1
-332.762756,3428.82544,1
-332.521454,3381.45947,1
-332.3106,3276.88354,1
-332.200378,3285.18164,1
-331.239868,3465.39819,1
-331.0876,3466.395,1
-330.9206,3292.7373,1
-330.6812,3219.49658,1
-330.638855,3209.57178,1
-330.616669,3285.861,1
-330.426,3322.60547,1
-330.395538,3371.3645,1
-330.102081,3294.31421,1
-329.235016,3265.272,1
-329.220673,3203.32666,1
-329.189362,3296.14624,1
-329.10968,3257.10742,1
-328.929,3202.44775,1
-328.777222,3295.1084,1
-328.4298,3262.94727,1
-328.338531,3444.50171,1
-328.310028,3444.977,1
-328.267365,3395.19385,1
-328.25647,3377.517,1
-328.244476,3137.57324,1
-327.891083,3346.42676,1
-327.686829,3286.04834,1
-327.603333,3353.66113,1
-327.508362,3483.41528,1
-327.242035,3202.87256,1
-327.21228,3575.03369,1
-327.0845,3241.94629,1
-326.909149,3318.45581,1
-326.872528,3502.02441,1
-326.621674,3353.403,1
-326.5566,3305.355,1
-326.470032,3198.516,1
-326.2187,3286.73315,1
-326.056671,3227.36816,1
-325.97934,3279.6106,1
-325.966248,3406.31714,1
-325.7508,3279.15112,1
-325.625519,3263.76685,1
-325.52774,3383.88867,1
-325.492767,3349.16187,1
-325.3668,3275.14819,1
-325.28476,3388.26685,1
-325.16333,3274.069,1
-325.104248,3232.11914,1
-325.010284,3287.76025,1
-324.9687,3847.83276,1
-324.867218,3375.31,1
-324.544464,3403.23877,1
-324.320648,3314.37842,1
-324.2985,3379.36646,1
-324.19516,3098.225,1
-324.0874,3266.0918,1
-324.0655,3247.09985,1
-323.519135,3340.26025,1
-323.459625,3218.722,1
-323.3221,3416.3335,1
-323.205353,3097.27515,1
-323.064728,3567.75732,1
-323.013824,3279.50977,1
-322.887878,3309.1748,1
-322.8041,3258.203,1
-322.5593,3166.29443,1
-322.5413,3273.67944,1
-322.51825,3271.04565,1
-322.491516,3393.67554,1
-322.3615,3261.857,1
-322.339081,3227.04248,1
-322.229126,3322.938,1
-322.209656,3190.4436,1
-322.031738,3278.91479,1
-322.011047,3386.449,1
-322.0046,3283.44629,1
-321.998932,3315.73267,1
-321.986145,3351.38,1
-321.97583,3406.97363,1
-321.975,3135.6958,1
-321.882477,3328.59717,1
-321.598236,3292.06958,1
-321.58316,3346.48779,1
-321.56543,3283.90576,1
-321.526337,3217.51563,1
-321.41275,3287.073,1
-321.4018,3383.08228,1
-321.3786,3325.01025,1
-321.339447,3175.45728,1
-321.329468,3381.53613,1
-321.294373,3240.82446,1
-321.239441,3301.1062,1
-321.23645,3248.80371,1
-321.233978,3205.815,1
-320.9653,3364.9314,1
-320.85556,3358.84985,1
-320.854553,3375.875,1
-320.7567,3219.67236,1
-320.5076,3190.965,1
-320.49292,3397.02759,1
-320.472656,3176.39648,1
-320.41745,3249.43628,1
-320.346924,3247.1958,1
-320.24173,3354.42725,1
-320.113617,3272.94019,1
-320.0842,3159.78149,1
-320.016724,3415.1687,1
-319.9482,3269.97437,1
-319.738953,3365.84448,1
-319.643677,3112.94,1
-319.5449,3296.15649,1
-319.519745,3210.55542,1
-319.519318,3250.54468,1
-319.5092,3135.22656,1
-319.403076,3218.412,1
-319.394348,3083.17285,1
-319.286652,3261.36963,1
-319.1977,3278.442,1
-319.1937,3234.95239,1
-319.073364,3395.20825,1
-318.932678,3314.2395,1
-318.749146,3273.87646,1
-318.6001,3299.75244,1
-318.572449,3425.842,1
-318.496765,3477.72583,1
-318.455536,3377.50146,1
-318.411774,3154.022,1
-318.385864,3254.77,1
-318.359253,3220.86743,1
-318.303925,3319.061,1
-318.2656,3484.223,1
-318.17926,3459.52,1
-318.157135,3383.427,1
-318.090118,3376.2417,1
-318.075958,3381.26855,1
-318.035126,3217.83643,1
-318.000519,3275.69336,1
-317.966278,3344.30347,1
-317.881866,3408.51025,1
-317.7888,3192.66943,1
-317.704681,3267.8916,1
-317.704376,3331.425,1
-317.688843,3174.82056,1
-317.669983,3247.48633,1
-317.6099,3363.79883,1
-317.539978,3256.46143,1
-317.5129,3302.90918,1
-317.461823,3196.21118,1
-317.4242,3210.92871,1
-317.3838,3183.78345,1
-317.3658,3313.09473,1
-317.302582,3262.05933,1
-317.268677,3217.4502,1
-317.2193,3238.171,1
-317.203278,3179.73462,1
-317.197,3135.85425,1
-317.1847,3243.51538,1
-317.1639,3273.977,1
-317.161682,3292.59619,1
-317.097961,3524.11548,1
-317.096619,3400.372,1
-317.0832,3113.54956,1
-316.9833,3208.788,1
-316.983,3149.62549,1
-316.977234,3157.843,1
-316.9356,3466.75024,1
-316.833252,3402.26318,1
-316.7582,3336.646,1
-316.753448,3284.4126,1
-316.55014,3467.766,1
-316.451935,3234.6145,1
-316.4509,3235.92163,1
-316.441681,3372.34521,1
-316.343964,3361.03516,1
-316.291443,3394.33081,1
-316.2777,3118.30127,1
-316.233032,3242.24878,1
-316.231232,3377.132,1
-316.2276,3404.015,1
-316.181854,3323.303,1
-316.136932,3384.63086,1
-316.0622,3363.146,1
-316.002838,3367.15259,1
-316.000244,3381.4126,1
-315.98938,3247.68677,1
-315.9808,3126.29028,1
-315.917,3180.52979,1
-315.898163,3277.007,1
-315.8725,3240.679,1
-315.8321,3285.00513,1
-315.802765,3391.0354,1
-315.771423,3287.09644,1
-315.683624,3283.33252,1
-315.633423,3257.87622,1
-315.6318,3210.98462,1
-315.6025,3276.14453,1
-315.5044,3099.26831,1
-315.500519,3357.08179,1
-315.488953,3271.24146,1
-315.4434,3446.36719,1
-315.419556,3246.58643,1
-315.3925,3458.04541,1
-315.389832,3330.62817,1
-315.3787,3367.72974,1
-315.3563,3362.94214,1
-315.3372,3164.0188,1
-315.32135,3300.44629,1
-315.2307,3085.67456,1
-315.209381,3370.91284,1
-315.181732,3371.12036,1
-315.161346,3166.40845,1
-315.130371,3130.10669,1
-315.11026,3230.70215,1
-315.070282,3242.38623,1
-315.060059,3184.017,1
-315.045166,3251.42725,1
-315.022919,3276.605,1
-314.9697,3178.608,1
-314.968262,3301.05054,1
-314.967682,3265.08838,1
-314.933929,3218.30469,1
-314.9221,3218.14282,1
-314.90686,3342.58765,1
-314.878235,3224.06,1
-314.86618,3318.16626,1
-314.7927,3168.62622,1
-314.773468,3421.08081,1
-314.7421,3364.28662,1
-314.735474,3278.27466,1
-314.688782,3424.69971,1
-314.6878,3280.8,1
-314.672,3065.228,1
-314.646942,3311.96851,1
-314.634857,3260.2627,1
-314.6106,3283.58716,1
-314.5877,3226.6394,1
-314.582855,3386.66748,1
-314.5483,3354.436,1
-314.5136,3216.03662,1
-314.511017,3258.83887,1
-314.5066,3317.254,1
-314.50592,3264.12183,1
-314.4348,3177.812,1
-314.41217,3307.05322,1
-314.402863,3266.75562,1
-314.3548,3268.60645,1
-314.349335,3430.909,1
-314.2668,3138.89648,1
-314.2396,3154.51758,1
-314.213837,3260.6333,1
-314.160675,3354.5835,1
-314.14975,3466.45361,1
-314.1462,3172.614,1
-314.1308,3366.43872,1
-314.107056,3127.108,1
-314.0963,3104.977,1
-314.084229,3415.80542,1
-314.064453,3177.2085,1
-314.060944,3242.73071,1
-314.033142,3237.18042,1
-314.030121,3323.77,1
-313.968353,3237.128,1
-313.9191,3337.20947,1
-313.823578,3254.5144,1
-313.803,3371.263,1
-313.74472,3286.24023,1
-313.64743,3459.40918,1
-313.631226,3335.14917,1
-313.5721,3406.345,1
-313.4416,3177.9707,1
-313.405334,3164.55518,1
-313.380859,3388.52881,1
-313.377533,3220.64258,1
-313.307434,3102.31445,1
-313.265472,3197.04883,1
-313.2654,3328.352,1
-313.0593,3512.75562,1
-313.05542,3265.67969,1
-313.052,3290.47681,1
-313.0397,3285.12061,1
-312.9962,3310.60034,1
-312.9769,3364.48071,1
-312.971924,3255.46021,1
-312.961365,3302.15,1
-312.886017,3276.16724,1
-312.8837,3250.67773,1
-312.803955,3311.19458,1
-312.760132,3256.50513,1
-312.642059,3323.69751,1
-312.615723,3282.90259,1
-312.4366,3404.712,1
-312.403473,3214.49268,1
-312.385071,3233.84473,1
-312.3689,3219.848,1
-312.367981,3238.502,1
-312.316772,3237.47339,1
-312.298523,3331.47559,1
-312.271851,3196.26074,1
-312.222961,3189.6897,1
-312.219055,3231.78516,1
-312.2185,3183.776,1
-312.178864,3244.9375,1
-312.166565,3388.14868,1
-312.1203,3243.51,1
-312.083679,3208.40845,1
-312.015,3324.8645,1
-312.004883,3139.93481,1
-311.951263,3234.50342,1
-311.930725,3212.32446,1
-311.9285,3364.472,1
-311.862518,3162.922,1
-311.85553,3233.954,1
-311.797638,3262.00537,1
-311.7773,3174.79175,1
-311.768646,3145.75269,1
-311.7464,3382.23267,1
-311.689728,3358.80078,1
-311.6799,3393.69165,1
-311.674561,3500.476,1
-311.6743,3348.56885,1
-311.639282,3287.753,1
-311.6224,3177.92456,1
-311.621674,3135.864,1
-311.6195,3243.34033,1
-311.596954,3345.148,1
-311.595642,3185.834,1
-311.5925,3272.51636,1
-311.573059,3211.1604,1
-311.542725,3167.73682,1
-311.5083,3305.77539,1
-311.505676,3310.0896,1
-311.444153,3271.93628,1
-311.4387,3256.26416,1
-311.414,3268.468,1
-311.41214,3234.98682,1
-311.3901,3356.39136,1
-311.3684,3322.66675,1
-311.3679,3237.79053,1
-311.3399,3250.9043,1
-311.292053,3176.17456,1
-311.264954,3165.527,1
-311.254181,3156.70874,1
-311.194916,3115.28418,1
-311.194061,3411.32031,1
-311.151978,3277.23438,1
-311.131622,3259.62427,1
-311.123047,3328.77271,1
-311.0187,3120.02148,1
-311.014374,3208.873,1
-311.002655,3153.01318,1
-310.961578,3356.247,1
-310.9393,3241.424,1
-310.938171,3237.948,1
-310.917236,3274.571,1
-310.9074,3337.79932,1
-310.8974,3371.598,1
-310.8929,3288.69019,1
-310.8847,3106.77881,1
-310.874969,3316.699,1
-310.866821,3418.95313,1
-310.860962,3150.343,1
-310.851227,3343.80029,1
-310.775,3327.4458,1
-310.744568,3359.97461,1
-310.736328,3276.05,1
-310.72998,3483.057,1
-310.712463,3218.11,1
-310.7105,3344.16162,1
-310.644867,3275.05225,1
-310.6211,3178.25928,1
-310.589478,3416.25537,1
-310.581238,3092.681,1
-310.5498,3213.31519,1
-310.528,3264.133,1
-310.460236,3175.769,1
-310.43338,3281.63843,1
-310.4232,3131.51025,1
-310.404663,3311.79858,1
-310.400452,3196.54565,1
-310.390259,3290.818,1
-310.376984,3189.351,1
-310.3356,3415.89966,1
-310.3283,3210.05664,1
-310.309265,3392.86841,1
-310.285858,3520.98535,1
-310.264679,3266.82544,1
-310.209717,3329.17651,1
-310.16687,3277.678,1
-310.165466,3254.72949,1
-310.127777,3196.59717,1
-310.101074,3238.08667,1
-310.060272,3333.77856,1
-310.0493,3110.70776,1
-310.040466,3457.23975,1
-309.975525,3263.69434,1
-309.954163,3434.65674,1
-309.912964,3404.818,1
-309.8936,3214.32324,1
-309.881531,3170.38745,1
-309.866943,3222.04541,1
-309.8623,3282.95728,1
-309.853821,3180.56616,1
-309.79007,3104.648,1
-309.788361,3041.739,1
-309.774261,3292.6228,1
-309.7665,3377.09473,1
-309.715576,3252.03784,1
-309.692352,3471.12842,1
-309.676331,3185.75024,1
-309.674347,3283.949,1
-309.649841,3200.65015,1
-309.635071,3162.06885,1
-309.616058,3301.842,1
-309.594055,3169.74951,1
-309.585052,3287.3457,1
-309.549255,3257.1123,1
-309.526978,3194.9397,1
-309.519348,3310.79,1
-309.502869,3220.21045,1
-309.4898,3347.69434,1
-309.46698,3278.99536,1
-309.414673,3190.24414,1
-309.408661,3260.72485,1
-309.394,3150.133,1
-309.3749,3214.475,1
-309.3433,3202.10156,1
-309.271759,3183.34961,1
-309.256531,3307.93115,1
-309.2345,3239.1582,1
-309.150726,3308.58838,1
-309.125244,3207.85034,1
-309.117218,3076.89575,1
-309.09433,3214.33057,1
-309.092,3235.512,1
-309.011078,3405.39429,1
-309.0099,3266.56177,1
-308.9678,3228.63281,1
-308.957977,3256.97754,1
-308.928772,3361.19434,1
-308.898743,3233.389,1
-308.896423,3341.47656,1
-308.857635,3164.43384,1
-308.826324,3292.56445,1
-308.790283,3438.38184,1
-308.7636,3321.59229,1
-308.7322,3171.326,1
-308.730072,3144.87964,1
-308.712677,3254.447,1
-308.708557,3320.21,1
-308.704834,3348.83838,1
-308.686829,3255.42456,1
-308.584961,3293.374,1
-308.584473,3133.11621,1
-308.575867,3176.25879,1
-308.5044,3327.717,1
-308.480164,3244.02441,1
-308.471863,3309.53345,1
-308.457428,3089.4624,1
-308.444031,3289.88477,1
-308.430939,3281.07251,1
-308.425446,3079.717,1
-308.422363,3292.57837,1
-308.415466,3134.76025,1
-308.359741,3286.08862,1
-308.344055,3335.33472,1
-308.33252,3221.03662,1
-308.322723,3319.11841,1
-308.305176,3245.257,1
-308.263,3319.11157,1
-308.2287,3156.2666,1
-308.187683,3349.353,1
-308.180878,3326.46558,1
-308.149139,3217.38086,1
-308.135254,3504.57813,1
-308.1218,3207.24634,1
-308.0982,3245.78271,1
-308.055878,3121.33081,1
-308.04895,3124.18,1
-308.036682,3396.23169,1
-308.0201,3344.507,1
-307.965363,3390.0022,1
-307.940216,3090.356,1
-307.9036,3168.11328,1
-307.876862,3236.11133,1
-307.873474,3235.8103,1
-307.8679,3212.992,1
-307.8513,3350.52856,1
-307.8486,3224.298,1
-307.8318,3354.835,1
-307.824829,3271.98486,1
-307.811127,3364.05957,1
-307.809784,3207.1062,1
-307.806946,3188.248,1
-307.7891,3240.25781,1
-307.779846,3241.04688,1
-307.7772,3111.313,1
-307.727478,3293.1853,1
-307.7133,3265.796,1
-307.679779,3282.5542,1
-307.6727,3018.72485,1
-307.668945,3347.41138,1
-307.637543,3299.51685,1
-307.607269,3291.52319,1
-307.605316,3224.3335,1
-307.600433,3291.34424,1
-307.597137,3391.53052,1
-307.590729,3157.75049,1
-307.581421,3129.77686,1
-307.580078,3127.26172,1
-307.563477,3113.86646,1
