Ch1 Amplitude,Ch2 Amplitude,Cluster
-186.896347,1539.88562,1
-184.872986,1420.60547,1
-184.16098,1486.38538,1
-181.588989,1461.41418,1
-180.8565,1372.67371,1
-179.141571,1496.46436,1
-177.531128,1479.43921,1
-176.911621,1659.79968,1
-176.881714,1454.33582,1
-176.861923,1446.818,1
-176.005966,1383.24243,1
-175.719864,1458.42932,1
-175.658813,1519.46008,1
-175.591736,1544.33691,1
-175.410965,1439.037,1
-175.277542,1482.96545,1
-175.196823,1433.09546,1
-175.104614,1468.47107,1
-174.421982,1463.83362,1
-174.368,1461.47351,1
-173.918823,1401.989,1
-173.897369,1396.2782,1
-173.265121,1551.86877,1
-172.733047,1485.67932,1
-172.627823,1442.65088,1
-172.482971,1440.6593,1
-171.892029,1378.19409,1
-171.834747,1388.25073,1
-171.809143,1399.83069,1
-171.7512,1483.70422,1
-171.478729,1411.06836,1
-171.182938,1324.49072,1
-171.147079,1506.28186,1
-171.094742,1519.06641,1
-170.911423,1455.11633,1
-170.750458,1424.842,1
-170.487335,1464.54944,1
-170.354767,1402.20532,1
-170.256882,1409.40125,1
-169.905457,1597.98218,1
-169.760315,1325.87109,1
-169.728378,1352.13867,1
-169.637009,1562.53442,1
-169.509369,1413.939,1
-169.497467,1476.07227,1
-169.368729,1357.50134,1
-169.260544,1430.58691,1
-169.120239,1423.75049,1
-169.053513,1446.13232,1
-168.966415,1441.9209,1
-168.822311,1451.43433,1
-168.639435,1318.532,1
-168.53392,1501.02576,1
-168.484451,1479.88892,1
-168.455215,1484.22717,1
-168.1771,1498.86047,1
-168.155853,1439.03333,1
-167.942825,1491.27185,1
-167.8163,1369.937,1
-167.763947,1390.44788,1
-167.6901,1471.33411,1
-167.627686,1426.94031,1
-167.3602,1599.8833,1
-167.246887,1517.237,1
-167.033081,1322.37549,1
-167.02153,1477.82581,1
-166.996323,1455.16272,1
-166.9612,1414.943,1
-166.957611,1436.52771,1
-166.875412,1367.184,1
-166.74823,1493.03125,1
-166.733459,1475.64771,1
-166.68985,1579.05237,1
-166.618668,1335.6145,1
-166.601486,1406.02368,1
-166.5876,1404.69189,1
-166.551147,1481.26709,1
-166.484436,1334.41406,1
-166.435028,1394.28845,1
-166.403625,1398.11267,1
-166.394928,1448.26758,1
-166.168381,1410.50818,1
-166.153534,1446.157,1
-166.000656,1434.8645,1
-165.996445,1449.28943,1
-165.905869,1496.95154,1
-165.884048,1429.03931,1
-165.75975,1454.051,1
-165.660324,1447.63379,1
-165.62265,1466.9093,1
-165.384583,1412.09741,1
-165.293015,1483.971,1
-165.229858,1426.41882,1
-165.229813,1517.10522,1
-165.168762,1551.9856,1
-165.0442,1505.4165,1
-164.992661,1471.69238,1
-164.872421,1321.848,1
-164.857773,1476.55042,1
-164.764053,1418.69751,1
-164.750046,1419.41321,1
-164.658447,1466.30481,1
-164.577942,1439.63245,1
-164.57637,1355.21094,1
-164.431091,1426.49683,1
-164.429932,1425.83374,1
-164.399216,1381.77393,1
-164.380035,1523.54248,1
-164.347214,1371.7063,1
-164.329651,1475.56775,1
-164.291946,1519.04358,1
-164.180222,1615.09888,1
-164.132477,1440.68726,1
-164.117828,1347.21069,1
-164.093567,1409.53345,1
-163.977173,1491.92773,1
-163.935654,1433.02563,1
-163.888184,1371.61633,1
-163.761734,1330.20862,1
-163.741379,1405.21826,1
-163.70079,1427.99646,1
-163.696365,1335.445,1
-163.694122,1347.44214,1
-163.511063,1467.54858,1
-163.4935,1424.14941,1
-163.433792,1428.73352,1
-163.354828,1476.709,1
-163.3347,1387.86377,1
-163.211792,1328.2572,1
-163.1918,1441.42432,1
-163.132065,1379.81934,1
-163.085373,1347.64685,1
-163.08313,1435.65833,1
-163.05896,1383.20728,1
-163.02739,1342.11047,1
-162.999954,1397.93579,1
-162.999954,1465.93921,1
-162.995651,1482.03381,1
-162.994354,1467.80457,1
-162.986435,1455.01526,1
-162.944733,1497.65247,1
-162.923584,1430.92419,1
-162.83931,1330.5282,1
-162.775787,1357.327,1
-162.66246,1333.3197,1
-162.622635,1435.5575,1
-162.5621,1478.00134,1
-162.560715,1427.04041,1
-162.3894,1418.86279,1
-162.3001,1392.85779,1
-162.192062,1348.04785,1
-162.171783,1426.42847,1
-162.170944,1431.57373,1
-162.1235,1462.6145,1
-162.1009,1397.24854,1
-162.083908,1439.25781,1
-162.0155,1506.69849,1
-161.987823,1468.95447,1
-161.973572,1457.64539,1
-161.9377,1534.4032,1
-161.905869,1393.12329,1
-161.898376,1386.70349,1
-161.890991,1413.99329,1
-161.885025,1469.00525,1
-161.834457,1392.42,1
-161.82663,1313.92749,1
-161.702362,1375.942,1
-161.632385,1348.13269,1
-161.626724,1240.54871,1
-161.583069,1402.75818,1
-161.516937,1358.72522,1
-161.4567,1445.92444,1
-161.4529,1476.2749,1
-161.441788,1449.99719,1
-161.437943,1472.76611,1
-161.416428,1445.80542,1
-161.413254,1343.42322,1
-161.347137,1363.66016,1
-161.293732,1423.46875,1
-161.280533,1405.7832,1
-161.249649,1355.21033,1
-161.227448,1544.42822,1
-161.226456,1379.62793,1
-161.153519,1422.20618,1
-161.144669,1439.75146,1
-161.063751,1378.76062,1
-161.052811,1398.06592,1
-160.952576,1461.40576,1
-160.924362,1392.04749,1
-160.8404,1420.68811,1
-160.813721,1328.98376,1
-160.777634,1485.99707,1
-160.738724,1389.20972,1
-160.617508,1407.94617,1
-160.612808,1316.02307,1
-160.5466,1363.16956,1
-160.502213,1400.60608,1
-160.417969,1490.16187,1
-160.3933,1305.86511,1
-160.368118,1437.62207,1
-160.315521,1398.57825,1
-160.294128,1414.02466,1
-160.246353,1431.08362,1
-160.204681,1414.591,1
-160.128052,1283.098,1
-160.1036,1416.96265,1
-160.030411,1416.84253,1
-160.019943,1414.94971,1
-159.922684,1419.14307,1
-159.896179,1469.155,1
-159.840576,1398.34009,1
-159.819366,1420.13525,1
-159.817688,1313.14,1
-159.792633,1384.135,1
-159.78363,1349.55054,1
-159.768265,1444.33325,1
-159.76767,1407.84509,1
-159.762772,1356.8949,1
-159.733017,1391.51074,1
-159.698425,1405.0752,1
-159.670456,1444.219,1
-159.666977,1394.7395,1
-159.6559,1467.62463,1
-159.6327,1412.76428,1
-159.609238,1436.69324,1
-159.568008,1396.03149,1
-159.5379,1294.4353,1
-159.528885,1327.98267,1
-159.521454,1415.563,1
