Ch1 Amplitude,Ch2 Amplitude,Cluster
-591.347351,10436.9707,1
-582.771851,10175.7041,1
-577.480164,11611.66,1
-576.7954,10738.001,1
-558.458435,10190.7207,1
-554.1519,9658.156,1
-553.7842,9716.142,1
-552.9306,10318.4688,1
-552.3688,9788.046,1
-552.3664,10119.127,1
-550.896362,9766.381,1
-550.8923,10589.3477,1
-549.4222,9791.041,1
-543.88324,9888.096,1
-543.3504,9796.497,1
-543.1048,10022.3955,1
-541.7252,9614.52051,1
-541.557861,10222.1855,1
-541.3454,10079.8008,1
-540.741943,9340.491,1
-540.7419,10542.2393,1
-539.674561,9791.283,1
-539.336731,10336.708,1
-538.7106,9974.081,1
-536.719666,9769.599,1
-536.299866,9901.606,1
-535.6644,9636.488,1
-534.9302,10123.9209,1
-533.5365,9642.326,1
-533.526245,10205.6045,1
-533.147,10548.4189,1
-532.906555,9610.645,1
-531.867432,9769.88,1
-531.1566,9808.004,1
-530.2477,10428.3271,1
-529.9097,9933.824,1
-528.3548,9757.45,1
-527.8853,10029.415,1
-527.4602,9810.353,1
-527.219543,9825.755,1
-527.0621,9928.061,1
-526.9343,9986.118,1
-526.8432,9645.714,1
-526.6555,10174.1533,1
-525.953735,9865.636,1
-524.3907,9885.744,1
-523.3878,9807.881,1
-522.388245,10193.3008,1
-522.013,10000.05,1
-521.6327,10472.3535,1
-519.938538,9977.911,1
-519.7887,10288.7871,1
-519.105042,9845.243,1
-518.4356,9772.504,1
-518.4272,10629.6826,1
-517.297241,10070.3887,1
-517.113953,9937.615,1
-516.6598,9759.375,1
-515.3147,10201.0723,1
-514.8885,10058.1484,1
-514.7502,10122.1416,1
-514.6044,10023.1807,1
-514.546753,9734.432,1
-512.0993,11043.0752,1
-511.5381,9198.096,1
-510.84082,9567.629,1
-510.64,9864.937,1
-510.331,9582.336,1
-509.899353,10008.2861,1
-508.7014,9479.097,1
-507.43335,10233.2344,1
-507.1392,9889.786,1
-507.1371,9585.355,1
-507.122742,9704.194,1
-507.074066,9902.76,1
-506.4302,9589.576,1
-505.639282,9921.183,1
-505.16275,10022.0527,1
-505.140472,9527.475,1
-505.034515,10406.207,1
-504.669678,9757.525,1
-504.300751,9846.881,1
-504.152832,9120.529,1
-503.8494,9392.574,1
-503.7989,9827.149,1
-502.927155,9810.006,1
-502.906372,9789.988,1
-502.756836,9726.498,1
-502.498383,9066.964,1
-502.0121,9808.402,1
-501.851135,9905.917,1
-501.6099,9522.843,1
-501.365723,9817.296,1
-501.3467,9725.932,1
-501.3445,10114.5283,1
-500.739319,9251.374,1
-500.422,10009.4785,1
-500.41922,9554.1,1
-500.354858,9610.365,1
-499.926941,10310.5918,1
-499.647827,9775.314,1
-499.448181,10064.8516,1
-498.699,9633.802,1
-498.499084,9782.97949,1
-498.434784,9567.28,1
-498.271851,9479.749,1
-498.1231,9965.401,1
-497.7786,9430.215,1
-497.722076,9771.929,1
-497.654144,9577.129,1
-497.588745,9820.098,1
-497.5379,9524.123,1
-496.753174,9788.812,1
-496.481842,9784.13,1
-496.336853,9546.586,1
-496.208466,9564.859,1
-496.170654,10030.9375,1
-496.151276,9621.886,1
-496.1394,9663.948,1
-496.106384,10030.3115,1
-495.932465,10019.4,1
-495.450226,9515.574,1
-494.3086,9550.183,1
-494.022522,9667.126,1
-493.852234,9653.568,1
-493.832458,9549.098,1
-493.573,9843.955,1
-493.4711,9997.427,1
-493.461517,9582.789,1
-492.807922,10014.5117,1
-492.754639,10215.4072,1
-492.643127,9779.351,1
-492.4253,9579.971,1
-492.198853,9791.211,1
-492.014954,9298.609,1
-491.960968,10045.3438,1
-491.955444,9756.836,1
-491.8977,9521.265,1
-491.767,9693.737,1
-491.4035,9669.159,1
-491.3986,9903.591,1
-491.297821,9711.252,1
-491.201752,9557.29,1
-491.0796,9726.058,1
-491.058624,9517.676,1
-490.818939,9701.382,1
-490.5045,9905.987,1
-490.044,9974.902,1
-489.724976,10184.46,1
-489.054016,9429.145,1
-489.0244,9754.5,1
-489.0071,9554.785,1
-488.916626,9403.43,1
-488.477234,9841.39,1
-488.206757,9787.668,1
-488.052429,10075.6689,1
-487.88797,9619.67,1
-487.8049,9906.203,1
-487.586639,9912.95,1
-487.496124,9920.788,1
-487.366821,10402.8027,1
-486.937317,10026.2979,1
-486.8213,9624.286,1
-486.720856,10002.1895,1
-486.5547,9627.588,1
-486.278,10047.8564,1
-486.268066,9637.009,1
-486.251373,9599.1875,1
-486.164856,9562.09,1
-485.89502,9650.194,1
-485.82077,9796.72,1
-485.286438,9720.144,1
-484.9767,9684.336,1
-484.803223,9815.995,1
-484.626221,9495.386,1
-484.0389,9902.001,1
-483.985443,9735.194,1
-483.6357,9632.381,1
-483.4807,9865.133,1
-483.453247,10164.4971,1
-483.271729,9697.088,1
-483.2054,9698.73,1
-482.931915,9768.424,1
-482.8588,10004.0264,1
-482.243866,9565.858,1
-482.147247,9773.812,1
-481.714539,10134.05,1
-481.6429,9521.545,1
-481.6419,9916.503,1
-481.544617,9867.944,1
-481.425781,9643.312,1
-481.133759,9831.215,1
-481.087341,9842.421,1
-481.086578,9664.93,1
-480.916229,9937.203,1
-480.845764,9356.429,1
-480.825134,9745.949,1
-480.488739,9881.195,1
-480.431519,9020.368,1
-480.406433,9556.79,1
-480.240631,9885.083,1
-480.214935,9904.553,1
-480.1942,9630.978,1
-479.6301,9584.71,1
-479.6028,9929.933,1
-479.4331,9640.195,1
-479.046021,9441.667,1
-479.035645,9534.60449,1
-478.8084,9630.282,1
-478.717072,9745.449,1
-478.6759,9839.667,1
-478.501343,9639.234,1
-478.484375,9529.169,1
-478.39093,9546.424,1
-478.2529,9559.776,1
-478.0305,9880.68,1
-478.029022,9401.666,1
-477.888123,9477.121,1
-477.868561,9971.213,1
-477.797577,9681.551,1
